Original,Tokenized,Cleaned,Length,Structure
अंक,"['अ', 'क']",अक,2,VC
अंग,"['अ', 'ग']",अग,2,VC
अंड,"['अ', 'ड']",अड,2,VC
अंत,"['अ', 'त']",अत,2,VC
अंब,"['अ', 'ब']",अब,2,VC
अंश,"['अ', 'श']",अश,2,VC
अग,"['अ', 'ग']",अग,2,VC
अग्र,"['अ', 'ग', '्', 'र']",अग्र,4,VCC
अज,"['अ', 'ज']",अज,2,VC
अट,"['अ', 'ट']",अट,2,VC
अड़,"['अ', 'ड', '़']",अड़,3,VC
अन्न,"['अ', 'न', '्', 'न']",अन्न,4,VCC
अन्य,"['अ', 'न', '्', 'य']",अन्य,4,VCC
अप,"['अ', 'प']",अप,2,VC
अब,"['अ', 'ब']",अब,2,VC
अम्ल,"['अ', 'म', '्', 'ल']",अम्ल,4,VCC
अर,"['अ', 'र']",अर,2,VC
अर्थ,"['अ', 'र', '्', 'थ']",अर्थ,4,VCC
अश,"['अ', 'श']",अश,2,VC
अहं,"['अ', 'ह']",अह,2,VC
आ,['आ'],आ,1,V
आंख,"['आ', 'ख']",आख,2,VC
आंच,"['आ', 'च']",आच,2,VC
आंह,"['आ', 'ह']",आह,2,VC
आक,"['आ', 'क']",आक,2,VC
आग,"['आ', 'ग']",आग,2,VC
आज,"['आ', 'ज']",आज,2,VC
आठ,"['आ', 'ठ']",आठ,2,VC
आड़,"['आ', 'ड', '़']",आड़,3,VC
आत्म,"['आ', 'त', '्', 'म']",आत्म,4,VCC
आद,"['आ', 'द']",आद,2,VC
आध,"['आ', 'ध']",आध,2,VC
आन,"['आ', 'न']",आन,2,VC
आप,"['आ', 'प']",आप,2,VC
आम,"['आ', 'म']",आम,2,VC
आय,"['आ', 'य']",आय,2,VC
आर,"['आ', 'र']",आर,2,VC
आर्त,"['आ', 'र', '्', 'त']",आर्त,4,VCC
आव,"['आ', 'व']",आव,2,VC
आस,"['आ', 'स']",आस,2,VC
आह,"['आ', 'ह']",आह,2,VC
इंग,"['इ', 'ग']",इग,2,VC
इंच,"['इ', 'च']",इच,2,VC
इंद्र,"['इ', 'द', '्', 'र']",इद्र,4,VCC
इक,"['इ', 'क']",इक,2,VC
इज,"['इ', 'ज']",इज,2,VC
इत्र,"['इ', 'त', '्', 'र']",इत्र,4,VCC
इन,"['इ', 'न']",इन,2,VC
इर्द,"['इ', 'र', '्', 'द']",इर्द,4,VCC
इस,"['इ', 'स']",इस,2,VC
इस्,"['इ', 'स', '्']",इस्,3,VC
ई,['ई'],ई,1,V
ईंट,"['ई', 'ट']",ईट,2,VC
ईद,"['ई', 'द']",ईद,2,VC
ईश,"['ई', 'श']",ईश,2,VC
उँह,"['उ', 'ह']",उह,2,VC
उग,"['उ', 'ग']",उग,2,VC
उग्र,"['उ', 'ग', '्', 'र']",उग्र,4,VCC
उठ,"['उ', 'ठ']",उठ,2,VC
उड,"['उ', 'ड']",उड,2,VC
उड़,"['उ', 'ड', '़']",उड़,3,VC
उध्म,"['उ', 'ध', '्', 'म']",उध्म,4,VCC
उन,"['उ', 'न']",उन,2,VC
उफ,"['उ', 'फ']",उफ,2,VC
उफ़,"['उ', 'फ', '़']",उफ़,3,VC
उफ्फ,"['उ', 'फ', '्', 'फ']",उफ्फ,4,VCC
उम्र,"['उ', 'म', '्', 'र']",उम्र,4,VCC
उर,"['उ', 'र']",उर,2,VC
उस,"['उ', 'स']",उस,2,VC
उ़ड,"['उ', '़', 'ड']",उ़ड,3,VVC
उ़फ,"['उ', '़', 'फ']",उ़फ,3,VVC
उाफ,"['उ', 'ा', 'फ']",उाफ,3,VVC
ऊं,['ऊ'],ऊ,1,V
ऊंघ,"['ऊ', 'घ']",ऊघ,2,VC
ऊंच,"['ऊ', 'च']",ऊच,2,VC
ऊंट,"['ऊ', 'ट']",ऊट,2,VC
ऊख,"['ऊ', 'ख']",ऊख,2,VC
ऊन,"['ऊ', 'न']",ऊन,2,VC
ऊब,"['ऊ', 'ब']",ऊब,2,VC
ऊव,"['ऊ', 'व']",ऊव,2,VC
ऊश,"['ऊ', 'श']",ऊश,2,VC
ऋण,"['ऋ', 'ण']",ऋण,2,VC
ए,['ए'],ए,1,V
एंड,"['ए', 'ड']",एड,2,VC
एक,"['ए', 'क']",एक,2,VC
एट,"['ए', 'ट']",एट,2,VC
एम,"['ए', 'म']",एम,2,VC
एल,"['ए', 'ल']",एल,2,VC
एव,"['ए', 'व']",एव,2,VC
एस,"['ए', 'स']",एस,2,VC
एह,"['ए', 'ह']",एह,2,VC
ऐ,['ऐ'],ऐ,1,V
ऐंठ,"['ऐ', 'ठ']",ऐठ,2,VC
ऐड,"['ऐ', 'ड']",ऐड,2,VC
ऐब,"['ऐ', 'ब']",ऐब,2,VC
ऑन,"['ऑ', 'न']",ऑन,2,VC
ऑफ,"['ऑ', 'फ']",ऑफ,2,VC
ऑफ़,"['ऑ', 'फ', '़']",ऑफ़,3,VC
ऑल,"['ऑ', 'ल']",ऑल,2,VC
ओ,['ओ'],ओ,1,V
ओट,"['ओ', 'ट']",ओट,2,VC
ओम,"['ओ', 'म']",ओम,2,VC
ओय,"['ओ', 'य']",ओय,2,VC
ओर,"['ओ', 'र']",ओर,2,VC
ओस,"['ओ', 'स']",ओस,2,VC
ओह,"['ओ', 'ह']",ओह,2,VC
औ,['औ'],औ,1,V
और,"['औ', 'र']",और,2,VC
कंक,"['क', 'क']",कक,2,CVC
कंठ,"['क', 'ठ']",कठ,2,CVC
कंद,"['क', 'द']",कद,2,CVC
कंस,"['क', 'स']",कस,2,CVC
कक्ष,"['क', 'क', '्', 'ष']",कक्ष,4,CVCC
कच,"['क', 'च']",कच,2,CVC
कच्छ,"['क', 'च', '्', 'छ']",कच्छ,4,CVCC
कट,"['क', 'ट']",कट,2,CVC
कण,"['क', 'ण']",कण,2,CVC
कद,"['क', 'द']",कद,2,CVC
कद्र,"['क', 'द', '्', 'र']",कद्र,4,CVCC
कप,"['क', 'प']",कप,2,CVC
कफ़,"['क', 'फ', '़']",कफ़,3,CVC
कब,"['क', 'ब']",कब,2,CVC
कब्त,"['क', 'ब', '्', 'त']",कब्त,4,CVCC
कब्र,"['क', 'ब', '्', 'र']",कब्र,4,CVCC
कर,"['क', 'र']",कर,2,CVC
कर्ण,"['क', 'र', '्', 'ण']",कर्ण,4,CVCC
कर्म,"['क', 'र', '्', 'म']",कर्म,4,CVCC
कर्र,"['क', 'र', '्', 'र']",कर्र,4,CVCC
कल,"['क', 'ल']",कल,2,CVC
कश,"['क', 'श']",कश,2,CVC
कष्ट,"['क', 'ष', '्', 'ट']",कष्ट,4,CVCC
कस,"['क', 'स']",कस,2,CVC
कह,"['क', 'ह']",कह,2,CVC
क़द,"['क', '़', 'द']",क़द,3,CVC
का,"['क', 'ा']",का,2,CV
कांच,"['क', 'ा', 'च']",काच,3,CVC
कांठ,"['क', 'ा', 'ठ']",काठ,3,CVC
कांप,"['क', 'ा', 'प']",काप,3,CVC
कांव,"['क', 'ा', 'व']",काव,3,CVC
कांस,"['क', 'ा', 'स']",कास,3,CVC
काक,"['क', 'ा', 'क']",काक,3,CVC
काग,"['क', 'ा', 'ग']",काग,3,CVC
काज,"['क', 'ा', 'ज']",काज,3,CVC
काट,"['क', 'ा', 'ट']",काट,3,CVC
काठ,"['क', 'ा', 'ठ']",काठ,3,CVC
कात,"['क', 'ा', 'त']",कात,3,CVC
कान,"['क', 'ा', 'न']",कान,3,CVC
कान्ट,"['क', 'ा', 'न', '्', 'ट']",कान्ट,5,CVCC
काम,"['क', 'ा', 'म']",काम,3,CVC
काय,"['क', 'ा', 'य']",काय,3,CVC
कार,"['क', 'ा', 'र']",कार,3,CVC
काल,"['क', 'ा', 'ल']",काल,3,CVC
काश,"['क', 'ा', 'श']",काश,3,CVC
कि,"['क', 'ि']",कि,2,CV
किंग,"['क', 'ि', 'ग']",किग,3,CVC
किंद,"['क', 'ि', 'द']",किद,3,CVC
किट,"['क', 'ि', 'ट']",किट,3,CVC
किड़,"['क', 'ि', 'ड', '़']",किड़,4,CVC
कित,"['क', 'ि', 'त']",कित,3,CVC
किन,"['क', 'ि', 'न']",किन,3,CVC
किम,"['क', 'ि', 'म']",किम,3,CVC
किय,"['क', 'ि', 'य']",किय,3,CVC
किस,"['क', 'ि', 'स']",किस,3,CVC
की,"['क', 'ी']",की,2,CV
कीट,"['क', 'ी', 'ट']",कीट,3,CVC
कीप,"['क', 'ी', 'प']",कीप,3,CVC
कील,"['क', 'ी', 'ल']",कील,3,CVC
कु,"['क', 'ु']",कु,2,CV
कुंज,"['क', 'ु', 'ज']",कुज,3,CVC
कुंड,"['क', 'ु', 'ड']",कुड,3,CVC
कुंभ,"['क', 'ु', 'भ']",कुभ,3,CVC
कुछ,"['क', 'ु', 'छ']",कुछ,3,CVC
कुढ़,"['क', 'ु', 'ढ', '़']",कुढ़,4,CVC
कुल,"['क', 'ु', 'ल']",कुल,3,CVC
कुश,"['क', 'ु', 'श']",कुश,3,CVC
कू,"['क', 'ू']",कू,2,CV
कूच,"['क', 'ू', 'च']",कूच,3,CVC
कूट,"['क', 'ू', 'ट']",कूट,3,CVC
कूद,"['क', 'ू', 'द']",कूद,3,CVC
कृप,"['क', 'ृ', 'प']",कृप,3,CVC
केंद्र,"['क', 'े', 'द', '्', 'र']",केद्र,5,CVCC
केक,"['क', 'े', 'क']",केक,3,CVC
केद,"['क', 'े', 'द']",केद,3,CVC
केश,"['क', 'े', 'श']",केश,3,CVC
केस,"['क', 'े', 'स']",केस,3,CVC
कै,"['क', 'ै']",कै,2,CV
कैंप,"['क', 'ै', 'प']",कैप,3,CVC
कैच,"['क', 'ै', 'च']",कैच,3,CVC
कैट,"['क', 'ै', 'ट']",कैट,3,CVC
कैद,"['क', 'ै', 'द']",कैद,3,CVC
कैन,"['क', 'ै', 'न']",कैन,3,CVC
कॉल,"['क', 'ॉ', 'ल']",कॉल,3,CVC
को,"['क', 'ो']",को,2,CV
कोंच,"['क', 'ो', 'च']",कोच,3,CVC
कोंध,"['क', 'ो', 'ध']",कोध,3,CVC
कोक,"['क', 'ो', 'क']",कोक,3,CVC
कोख,"['क', 'ो', 'ख']",कोख,3,CVC
कोट,"['क', 'ो', 'ट']",कोट,3,CVC
कोण,"['क', 'ो', 'ण']",कोण,3,CVC
कोन,"['क', 'ो', 'न']",कोन,3,CVC
कोय,"['क', 'ो', 'य']",कोय,3,CVC
कोर,"['क', 'ो', 'र']",कोर,3,CVC
कोल,"['क', 'ो', 'ल']",कोल,3,CVC
कोव,"['क', 'ो', 'व']",कोव,3,CVC
कोष,"['क', 'ो', 'ष']",कोष,3,CVC
कोस,"['क', 'ो', 'स']",कोस,3,CVC
कौ,"['क', 'ौ']",कौ,2,CV
कौंध,"['क', 'ौ', 'ध']",कौध,3,CVC
कौम,"['क', 'ौ', 'म']",कौम,3,CVC
कौर,"['क', 'ौ', 'र']",कौर,3,CVC
क्या,"['क', '्', 'य', 'ा']",क्या,4,CCV
क्यूं,"['क', '्', 'य', 'ू']",क्यू,4,CCV
क्यो,"['क', '्', 'य', 'ो']",क्यो,4,CCV
क्यों,"['क', '्', 'य', 'ो']",क्यो,4,CCV
क्रम,"['क', '्', 'र', 'म']",क्रम,4,CCVC
क्रय,"['क', '्', 'र', 'य']",क्रय,4,CCVC
क्रुद्ध,"['क', '्', 'र', 'ु', 'द', '्', 'ध']",क्रुद्ध,7,CCVCC
क्रूर,"['क', '्', 'र', 'ू', 'र']",क्रूर,5,CCVC
क्रोध,"['क', '्', 'र', 'ो', 'ध']",क्रोध,5,CCVC
क्वार,"['क', '्', 'व', 'ा', 'र']",क्वार,5,CCVC
क्षण,"['क', '्', 'ष', 'ण']",क्षण,4,CCVC
क्षत,"['क', '्', 'ष', 'त']",क्षत,4,CCVC
क्षीण,"['क', '्', 'ष', 'ी', 'ण']",क्षीण,5,CCVC
क्षुद्र,"['क', '्', 'ष', 'ु', 'द', '्', 'र']",क्षुद्र,7,CCVCC
क्षेम,"['क', '्', 'ष', 'े', 'म']",क्षेम,5,CCVC
क्षोभ,"['क', '्', 'ष', 'ो', 'भ']",क्षोभ,5,CCVC
खंड,"['ख', 'ड']",खड,2,CVC
खट,"['ख', 'ट']",खट,2,CVC
खट्ट,"['ख', 'ट', '्', 'ट']",खट्ट,4,CVCC
खड़,"['ख', 'ड', '़']",खड़,3,CVC
खत्म,"['ख', 'त', '्', 'म']",खत्म,4,CVCC
खम,"['ख', 'म']",खम,2,CVC
खर,"['ख', 'र']",खर,2,CVC
खर्च,"['ख', 'र', '्', 'च']",खर्च,4,CVCC
खल,"['ख', 'ल']",खल,2,CVC
ख़त्म,"['ख', '़', 'त', '्', 'म']",ख़त्म,5,CVCC
ख़स,"['ख', '़', 'स']",ख़स,3,CVC
ख़ां,"['ख', '़', 'ा']",ख़ा,3,CV
ख़ास,"['ख', '़', 'ा', 'स']",ख़ास,4,CVC
ख़ुद,"['ख', '़', 'ु', 'द']",ख़ुद,4,CVC
ख़ुश,"['ख', '़', 'ु', 'श']",ख़ुश,4,CVC
ख़ूब,"['ख', '़', 'ू', 'ब']",ख़ूब,4,CVC
ख़ैर,"['ख', '़', 'ै', 'र']",ख़ैर,4,CVC
खा,"['ख', 'ा']",खा,2,CV
खाँ,"['ख', 'ा']",खा,2,CV
खाँस,"['ख', 'ा', 'स']",खास,3,CVC
खाक,"['ख', 'ा', 'क']",खाक,3,CVC
खाट,"['ख', 'ा', 'ट']",खाट,3,CVC
खात,"['ख', 'ा', 'त']",खात,3,CVC
खाद,"['ख', 'ा', 'द']",खाद,3,CVC
खाद्य,"['ख', 'ा', 'द', '्', 'य']",खाद्य,5,CVCC
खान,"['ख', 'ा', 'न']",खान,3,CVC
खाय,"['ख', 'ा', 'य']",खाय,3,CVC
खाल,"['ख', 'ा', 'ल']",खाल,3,CVC
खास,"['ख', 'ा', 'स']",खास,3,CVC
खिंच,"['ख', 'ि', 'च']",खिच,3,CVC
खिच,"['ख', 'ि', 'च']",खिच,3,CVC
खिन्न,"['ख', 'ि', 'न', '्', 'न']",खिन्न,5,CVCC
खिल,"['ख', 'ि', 'ल']",खिल,3,CVC
खिस,"['ख', 'ि', 'स']",खिस,3,CVC
खींच,"['ख', 'ी', 'च']",खीच,3,CVC
खीच,"['ख', 'ी', 'च']",खीच,3,CVC
खीज,"['ख', 'ी', 'ज']",खीज,3,CVC
खीझ,"['ख', 'ी', 'झ']",खीझ,3,CVC
खीर,"['ख', 'ी', 'र']",खीर,3,CVC
खुट,"['ख', 'ु', 'ट']",खुट,3,CVC
खुद,"['ख', 'ु', 'द']",खुद,3,CVC
खुर,"['ख', 'ु', 'र']",खुर,3,CVC
खुल,"['ख', 'ु', 'ल']",खुल,3,CVC
खुश,"['ख', 'ु', 'श']",खुश,3,CVC
खून,"['ख', 'ू', 'न']",खून,3,CVC
खूब,"['ख', 'ू', 'ब']",खूब,3,CVC
खेत,"['ख', 'े', 'त']",खेत,3,CVC
खेद,"['ख', 'े', 'द']",खेद,3,CVC
खेप,"['ख', 'े', 'प']",खेप,3,CVC
खेल,"['ख', 'े', 'ल']",खेल,3,CVC
खैर,"['ख', 'ै', 'र']",खैर,3,CVC
खो,"['ख', 'ो']",खो,2,CV
खोंस,"['ख', 'ो', 'स']",खोस,3,CVC
खोज,"['ख', 'ो', 'ज']",खोज,3,CVC
खोज़,"['ख', 'ो', 'ज', '़']",खोज़,4,CVC
खोद,"['ख', 'ो', 'द']",खोद,3,CVC
खोल,"['ख', 'ो', 'ल']",खोल,3,CVC
खोह,"['ख', 'ो', 'ह']",खोह,3,CVC
खौल,"['ख', 'ौ', 'ल']",खौल,3,CVC
ख्याल,"['ख', '्', 'य', 'ा', 'ल']",ख्याल,5,CCVC
गंध,"['ग', 'ध']",गध,2,CVC
गज,"['ग', 'ज']",गज,2,CVC
गट,"['ग', 'ट']",गट,2,CVC
गढ़,"['ग', 'ढ', '़']",गढ़,3,CVC
गण,"['ग', 'ण']",गण,2,CVC
गत,"['ग', 'त']",गत,2,CVC
गप्प,"['ग', 'प', '्', 'प']",गप्प,4,CVCC
गम,"['ग', 'म']",गम,2,CVC
गर,"['ग', 'र']",गर,2,CVC
गर्म,"['ग', 'र', '्', 'म']",गर्म,4,CVCC
गर्व,"['ग', 'र', '्', 'व']",गर्व,4,CVCC
गल,"['ग', 'ल']",गल,2,CVC
गह,"['ग', 'ह']",गह,2,CVC
गा,"['ग', 'ा']",गा,2,CV
गाँव,"['ग', 'ा', 'व']",गाव,3,CVC
गाड़,"['ग', 'ा', 'ड', '़']",गाड़,4,CVC
गात,"['ग', 'ा', 'त']",गात,3,CVC
गान,"['ग', 'ा', 'न']",गान,3,CVC
गाय,"['ग', 'ा', 'य']",गाय,3,CVC
गार,"['ग', 'ा', 'र']",गार,3,CVC
गाल,"['ग', 'ा', 'ल']",गाल,3,CVC
गिद्ध,"['ग', 'ि', 'द', '्', 'ध']",गिद्ध,5,CVCC
गिन,"['ग', 'ि', 'न']",गिन,3,CVC
गिर,"['ग', 'ि', 'र']",गिर,3,CVC
गिर्द,"['ग', 'ि', 'र', '्', 'द']",गिर्द,5,CVCC
गी,"['ग', 'ी']",गी,2,CV
गीत,"['ग', 'ी', 'त']",गीत,3,CVC
गुँध,"['ग', 'ु', 'ध']",गुध,3,CVC
गुंथ,"['ग', 'ु', 'थ']",गुथ,3,CVC
गुट,"['ग', 'ु', 'ट']",गुट,3,CVC
गुड,"['ग', 'ु', 'ड']",गुड,3,CVC
गुड़,"['ग', 'ु', 'ड', '़']",गुड़,4,CVC
गुण,"['ग', 'ु', 'ण']",गुण,3,CVC
गुथ,"['ग', 'ु', 'थ']",गुथ,3,CVC
गुन,"['ग', 'ु', 'न']",गुन,3,CVC
गुप्त,"['ग', 'ु', 'प', '्', 'त']",गुप्त,5,CVCC
गुम,"['ग', 'ु', 'म']",गुम,3,CVC
गुल,"['ग', 'ु', 'ल']",गुल,3,CVC
गुह,"['ग', 'ु', 'ह']",गुह,3,CVC
गूँध,"['ग', 'ू', 'ध']",गूध,3,CVC
गूं,"['ग', 'ू']",गू,2,CV
गूंज,"['ग', 'ू', 'ज']",गूज,3,CVC
गूंथ,"['ग', 'ू', 'थ']",गूथ,3,CVC
गूढ़,"['ग', 'ू', 'ढ', '़']",गूढ़,4,CVC
गेंद,"['ग', 'े', 'द']",गेद,3,CVC
गेट,"['ग', 'े', 'ट']",गेट,3,CVC
गेम,"['ग', 'े', 'म']",गेम,3,CVC
गैंद,"['ग', 'ै', 'द']",गैद,3,CVC
गैर,"['ग', 'ै', 'र']",गैर,3,CVC
गैस,"['ग', 'ै', 'स']",गैस,3,CVC
गॉट,"['ग', 'ॉ', 'ट']",गॉट,3,CVC
गॉड,"['ग', 'ॉ', 'ड']",गॉड,3,CVC
गोद,"['ग', 'ो', 'द']",गोद,3,CVC
गोल,"['ग', 'ो', 'ल']",गोल,3,CVC
गोश्त,"['ग', 'ो', 'श', '्', 'त']",गोश्त,5,CVCC
गौर,"['ग', 'ौ', 'र']",गौर,3,CVC
ग्यार,"['ग', '्', 'य', 'ा', 'र']",ग्यार,5,CCVC
ग्रंथ,"['ग', '्', 'र', 'थ']",ग्रथ,4,CCVC
ग्रह,"['ग', '्', 'र', 'ह']",ग्रह,4,CCVC
ग्राम,"['ग', '्', 'र', 'ा', 'म']",ग्राम,5,CCVC
ग्रीक,"['ग', '्', 'र', 'ी', 'क']",ग्रीक,5,CCVC
ग्रीष्म,"['ग', '्', 'र', 'ी', 'ष', '्', 'म']",ग्रीष्म,7,CCVCC
ग्वाल,"['ग', '्', 'व', 'ा', 'ल']",ग्वाल,5,CCVC
घट,"['घ', 'ट']",घट,2,CVC
घन,"['घ', 'न']",घन,2,CVC
घर,"['घ', 'र']",घर,2,CVC
घर्र,"['घ', 'र', '्', 'र']",घर्र,4,CVCC
घाट,"['घ', 'ा', 'ट']",घाट,3,CVC
घात,"['घ', 'ा', 'त']",घात,3,CVC
घाम,"['घ', 'ा', 'म']",घाम,3,CVC
घाव,"['घ', 'ा', 'व']",घाव,3,CVC
घास,"['घ', 'ा', 'स']",घास,3,CVC
घिर,"['घ', 'ि', 'र']",घिर,3,CVC
घिस,"['घ', 'ि', 'स']",घिस,3,CVC
घी,"['घ', 'ी']",घी,2,CV
घुट,"['घ', 'ु', 'ट']",घुट,3,CVC
घुप,"['घ', 'ु', 'प']",घुप,3,CVC
घुर्र,"['घ', 'ु', 'र', '्', 'र']",घुर्र,5,CVCC
घुल,"['घ', 'ु', 'ल']",घुल,3,CVC
घुस,"['घ', 'ु', 'स']",घुस,3,CVC
घूं,"['घ', 'ू']",घू,2,CV
घूंट,"['घ', 'ू', 'ट']",घूट,3,CVC
घूम,"['घ', 'ू', 'म']",घूम,3,CVC
घूर,"['घ', 'ू', 'र']",घूर,3,CVC
घेर,"['घ', 'े', 'र']",घेर,3,CVC
घोट,"['घ', 'ो', 'ट']",घोट,3,CVC
घोर,"['घ', 'ो', 'र']",घोर,3,CVC
घोल,"['घ', 'ो', 'ल']",घोल,3,CVC
घोष,"['घ', 'ो', 'ष']",घोष,3,CVC
चंग,"['च', 'ग']",चग,2,CVC
चंद,"['च', 'द']",चद,2,CVC
चंद्र,"['च', 'द', '्', 'र']",चद्र,4,CVCC
चक,"['च', 'क']",चक,2,CVC
चक्र,"['च', 'क', '्', 'र']",चक्र,4,CVCC
चख,"['च', 'ख']",चख,2,CVC
चट,"['च', 'ट']",चट,2,CVC
चट्ट,"['च', 'ट', '्', 'ट']",चट्ट,4,CVCC
चढ़़,"['च', 'ढ', '़', '़']",चढ़़,4,CVC
चन,"['च', 'न']",चन,2,CVC
चप,"['च', 'प']",चप,2,CVC
चम,"['च', 'म']",चम,2,CVC
चर,"['च', 'र']",चर,2,CVC
चर्र,"['च', 'र', '्', 'र']",चर्र,4,CVCC
चल,"['च', 'ल']",चल,2,CVC
चांद,"['च', 'ा', 'द']",चाद,3,CVC
चाक,"['च', 'ा', 'क']",चाक,3,CVC
चाट,"['च', 'ा', 'ट']",चाट,3,CVC
चान,"['च', 'ा', 'न']",चान,3,CVC
चाप,"['च', 'ा', 'प']",चाप,3,CVC
चाय,"['च', 'ा', 'य']",चाय,3,CVC
चार,"['च', 'ा', 'र']",चार,3,CVC
चाल,"['च', 'ा', 'ल']",चाल,3,CVC
चाव,"['च', 'ा', 'व']",चाव,3,CVC
चाह,"['च', 'ा', 'ह']",चाह,3,CVC
चिंग,"['च', 'ि', 'ग']",चिग,3,CVC
चिक,"['च', 'ि', 'क']",चिक,3,CVC
चिक्क,"['च', 'ि', 'क', '्', 'क']",चिक्क,5,CVCC
चिढ़,"['च', 'ि', 'ढ', '़']",चिढ़,4,CVC
चित,"['च', 'ि', 'त']",चित,3,CVC
चित्त,"['च', 'ि', 'त', '्', 'त']",चित्त,5,CVCC
चित्र,"['च', 'ि', 'त', '्', 'र']",चित्र,5,CVCC
चिन,"['च', 'ि', 'न']",चिन,3,CVC
ची,"['च', 'ी']",ची,2,CV
चीं,"['च', 'ी']",ची,2,CV
चीख,"['च', 'ी', 'ख']",चीख,3,CVC
चीख़,"['च', 'ी', 'ख', '़']",चीख़,4,CVC
चीज,"['च', 'ी', 'ज']",चीज,3,CVC
चीज़,"['च', 'ी', 'ज', '़']",चीज़,4,CVC
चीड़,"['च', 'ी', 'ड', '़']",चीड़,4,CVC
चीत,"['च', 'ी', 'त']",चीत,3,CVC
चीन,"['च', 'ी', 'न']",चीन,3,CVC
चीर,"['च', 'ी', 'र']",चीर,3,CVC
चील,"['च', 'ी', 'ल']",चील,3,CVC
चुक,"['च', 'ु', 'क']",चुक,3,CVC
चुग,"['च', 'ु', 'ग']",चुग,3,CVC
चुन,"['च', 'ु', 'न']",चुन,3,CVC
चुप,"['च', 'ु', 'प']",चुप,3,CVC
चुप्प,"['च', 'ु', 'प', '्', 'प']",चुप्प,5,CVCC
चुभ,"['च', 'ु', 'भ']",चुभ,3,CVC
चुस्त,"['च', 'ु', 'स', '्', 'त']",चुस्त,5,CVCC
चू,"['च', 'ू']",चू,2,CV
चूं,"['च', 'ू']",चू,2,CV
चूक,"['च', 'ू', 'क']",चूक,3,CVC
चूम,"['च', 'ू', 'म']",चूम,3,CVC
चूर,"['च', 'ू', 'र']",चूर,3,CVC
चूर्ण,"['च', 'ू', 'र', '्', 'ण']",चूर्ण,5,CVCC
चूस,"['च', 'ू', 'स']",चूस,3,CVC
चेत,"['च', 'े', 'त']",चेत,3,CVC
चैक,"['च', 'ै', 'क']",चैक,3,CVC
चैट,"['च', 'ै', 'ट']",चैट,3,CVC
चैत,"['च', 'ै', 'त']",चैत,3,CVC
चैन,"['च', 'ै', 'न']",चैन,3,CVC
चॉंद,"['च', 'ॉ', 'द']",चॉद,3,CVC
चॉक,"['च', 'ॉ', 'क']",चॉक,3,CVC
चोंच,"['च', 'ो', 'च']",चोच,3,CVC
चोट,"['च', 'ो', 'ट']",चोट,3,CVC
चोर,"['च', 'ो', 'र']",चोर,3,CVC
चौंक,"['च', 'ौ', 'क']",चौक,3,CVC
चौक,"['च', 'ौ', 'क']",चौक,3,CVC
च्न्टि,"['च', '्', 'न', '्', 'ट', 'ि']",च्न्टि,6,CCCV
छंद,"['छ', 'द']",छद,2,CVC
छक,"['छ', 'क']",छक,2,CVC
छट,"['छ', 'ट']",छट,2,CVC
छड़,"['छ', 'ड', '़']",छड़,3,CVC
छत,"['छ', 'त']",छत,2,CVC
छन,"['छ', 'न']",छन,2,CVC
छप,"['छ', 'प']",छप,2,CVC
छम,"['छ', 'म']",छम,2,CVC
छल,"['छ', 'ल']",छल,2,CVC
छा,"['छ', 'ा']",छा,2,CV
छाँह,"['छ', 'ा', 'ह']",छाह,3,CVC
छांव,"['छ', 'ा', 'व']",छाव,3,CVC
छाछ,"['छ', 'ा', 'छ']",छाछ,3,CVC
