Original,Tokenized,Cleaned,Length,Structure
छात्र,"['छ', 'ा', 'त', '्', 'र']",छात्र,5,CVCC
छान,"['छ', 'ा', 'न']",छान,3,CVC
छाप,"['छ', 'ा', 'प']",छाप,3,CVC
छाल,"['छ', 'ा', 'ल']",छाल,3,CVC
छिः,"['छ', 'ि', 'ः']",छिः,3,CVV
छिड़,"['छ', 'ि', 'ड', '़']",छिड़,4,CVC
छिन,"['छ', 'ि', 'न']",छिन,3,CVC
छिप,"['छ', 'ि', 'प']",छिप,3,CVC
छिल,"['छ', 'ि', 'ल']",छिल,3,CVC
छीं,"['छ', 'ी']",छी,2,CV
छींक,"['छ', 'ी', 'क']",छीक,3,CVC
छीन,"['छ', 'ी', 'न']",छीन,3,CVC
छील,"['छ', 'ी', 'ल']",छील,3,CVC
छुक,"['छ', 'ु', 'क']",छुक,3,CVC
छुट,"['छ', 'ु', 'ट']",छुट,3,CVC
छुप,"['छ', 'ु', 'प']",छुप,3,CVC
छू,"['छ', 'ू']",छू,2,CV
छूट,"['छ', 'ू', 'ट']",छूट,3,CVC
छे,"['छ', 'े']",छे,2,CV
छेड़,"['छ', 'े', 'ड', '़']",छेड़,4,CVC
छेद,"['छ', 'े', 'द']",छेद,3,CVC
छो,"['छ', 'ो']",छो,2,CV
छोड,"['छ', 'ो', 'ड']",छोड,3,CVC
छोड़,"['छ', 'ो', 'ड', '़']",छोड़,4,CVC
छोर,"['छ', 'ो', 'र']",छोर,3,CVC
छोह,"['छ', 'ो', 'ह']",छोह,3,CVC
छौंक,"['छ', 'ौ', 'क']",छौक,3,CVC
जंग,"['ज', 'ग']",जग,2,CVC
जंच,"['ज', 'च']",जच,2,CVC
जंप,"['ज', 'प']",जप,2,CVC
जग,"['ज', 'ग']",जग,2,CVC
जज,"['ज', 'ज']",जज,2,CVC
जड़,"['ज', 'ड', '़']",जड़,3,CVC
जन,"['ज', 'न']",जन,2,CVC
जन्म,"['ज', 'न', '्', 'म']",जन्म,4,CVCC
जप,"['ज', 'प']",जप,2,CVC
जब,"['ज', 'ब']",जब,2,CVC
जम,"['ज', 'म']",जम,2,CVC
जय,"['ज', 'य']",जय,2,CVC
जल,"['ज', 'ल']",जल,2,CVC
जल्द,"['ज', 'ल', '्', 'द']",जल्द,4,CVCC
जश्न,"['ज', 'श', '्', 'न']",जश्न,4,CVCC
ज़ंग,"['ज', '़', 'ग']",ज़ग,3,CVC
ज़िद,"['ज', '़', 'ि', 'द']",ज़िद,4,CVC
ज़िप,"['ज', '़', 'ि', 'प']",ज़िप,4,CVC
ज़ू,"['ज', '़', 'ू']",ज़ू,3,CV
ज़ोन,"['ज', '़', 'ो', 'न']",ज़ोन,4,CVC
ज़ोर,"['ज', '़', 'ो', 'र']",ज़ोर,4,CVC
जा,"['ज', 'ा']",जा,2,CV
जांघ,"['ज', 'ा', 'घ']",जाघ,3,CVC
जांच,"['ज', 'ा', 'च']",जाच,3,CVC
जांप,"['ज', 'ा', 'प']",जाप,3,CVC
जाक,"['ज', 'ा', 'क']",जाक,3,CVC
जाग,"['ज', 'ा', 'ग']",जाग,3,CVC
जात,"['ज', 'ा', 'त']",जात,3,CVC
जाद,"['ज', 'ा', 'द']",जाद,3,CVC
जान,"['ज', 'ा', 'न']",जान,3,CVC
जाम,"['ज', 'ा', 'म']",जाम,3,CVC
जार,"['ज', 'ा', 'र']",जार,3,CVC
जाल,"['ज', 'ा', 'ल']",जाल,3,CVC
जिंग,"['ज', 'ि', 'ग']",जिग,3,CVC
जिद,"['ज', 'ि', 'द']",जिद,3,CVC
जिन,"['ज', 'ि', 'न']",जिन,3,CVC
जिल्द,"['ज', 'ि', 'ल', '्', 'द']",जिल्द,5,CVCC
जिस्म,"['ज', 'ि', 'स', '्', 'म']",जिस्म,5,CVCC
जी,"['ज', 'ी']",जी,2,CV
जीत,"['ज', 'ी', 'त']",जीत,3,CVC
जीभ,"['ज', 'ी', 'भ']",जीभ,3,CVC
जीव,"['ज', 'ी', 'व']",जीव,3,CVC
जुट,"['ज', 'ु', 'ट']",जुट,3,CVC
जुड़,"['ज', 'ु', 'ड', '़']",जुड़,4,CVC
जुर्म,"['ज', 'ु', 'र', '्', 'म']",जुर्म,5,CVCC
जुल,"['ज', 'ु', 'ल']",जुल,3,CVC
जूँ,"['ज', 'ू']",जू,2,CV
जूट,"['ज', 'ू', 'ट']",जूट,3,CVC
जूड,"['ज', 'ू', 'ड']",जूड,3,CVC
जून,"['ज', 'ू', 'न']",जून,3,CVC
जूस,"['ज', 'ू', 'स']",जूस,3,CVC
जेठ,"['ज', 'े', 'ठ']",जेठ,3,CVC
जेन,"['ज', 'े', 'न']",जेन,3,CVC
जेब,"['ज', 'े', 'ब']",जेब,3,CVC
जेल,"['ज', 'े', 'ल']",जेल,3,CVC
जैंग,"['ज', 'ै', 'ग']",जैग,3,CVC
जैक,"['ज', 'ै', 'क']",जैक,3,CVC
जैव,"['ज', 'ै', 'व']",जैव,3,CVC
जॉन,"['ज', 'ॉ', 'न']",जॉन,3,CVC
जो,"['ज', 'ो']",जो,2,CV
जोंग,"['ज', 'ो', 'ग']",जोग,3,CVC
जोग,"['ज', 'ो', 'ग']",जोग,3,CVC
जोड़,"['ज', 'ो', 'ड', '़']",जोड़,4,CVC
जोत,"['ज', 'ो', 'त']",जोत,3,CVC
जोर,"['ज', 'ो', 'र']",जोर,3,CVC
जोल,"['ज', 'ो', 'ल']",जोल,3,CVC
जोश,"['ज', 'ो', 'श']",जोश,3,CVC
जोह,"['ज', 'ो', 'ह']",जोह,3,CVC
जौ,"['ज', 'ौ']",जौ,2,CV
ज्ञात,"['ज', '्', 'ञ', 'ा', 'त']",ज्ञात,5,CCVC
ज्ञान,"['ज', '्', 'ञ', 'ा', 'न']",ज्ञान,5,CCVC
ज्ञोर,"['ज', '्', 'ञ', 'ो', 'र']",ज्ञोर,5,CCVC
ज्यों,"['ज', '्', 'य', 'ो']",ज्यो,4,CCV
ज्वर,"['ज', '्', 'व', 'र']",ज्वर,4,CCVC
झंग,"['झ', 'ग']",झग,2,CVC
झक,"['झ', 'क']",झक,2,CVC
झट,"['झ', 'ट']",झट,2,CVC
झड़,"['झ', 'ड', '़']",झड़,3,CVC
झप,"['झ', 'प']",झप,2,CVC
झम,"['झ', 'म']",झम,2,CVC
झर,"['झ', 'र']",झर,2,CVC
झर्र,"['झ', 'र', '्', 'र']",झर्र,4,CVCC
झल,"['झ', 'ल']",झल,2,CVC
झांक,"['झ', 'ा', 'क']",झाक,3,CVC
झांझ,"['झ', 'ा', 'झ']",झाझ,3,CVC
झाग,"['झ', 'ा', 'ग']",झाग,3,CVC
झाड,"['झ', 'ा', 'ड']",झाड,3,CVC
झाड़,"['झ', 'ा', 'ड', '़']",झाड़,4,CVC
झील,"['झ', 'ी', 'ल']",झील,3,CVC
झुंड,"['झ', 'ु', 'ड']",झुड,3,CVC
झुक,"['झ', 'ु', 'क']",झुक,3,CVC
झूठ,"['झ', 'ू', 'ठ']",झूठ,3,CVC
झूम,"['झ', 'ू', 'म']",झूम,3,CVC
झूल,"['झ', 'ू', 'ल']",झूल,3,CVC
झेल,"['झ', 'े', 'ल']",झेल,3,CVC
झोंक,"['झ', 'ो', 'क']",झोक,3,CVC
झोल,"['झ', 'ो', 'ल']",झोल,3,CVC
टंग,"['ट', 'ग']",टग,2,CVC
टक,"['ट', 'क']",टक,2,CVC
टन,"['ट', 'न']",टन,2,CVC
टन्न,"['ट', 'न', '्', 'न']",टन्न,4,CVCC
टप,"['ट', 'प']",टप,2,CVC
टब,"['ट', 'ब']",टब,2,CVC
टर,"['ट', 'र']",टर,2,CVC
टर्र,"['ट', 'र', '्', 'र']",टर्र,4,CVCC
टल,"['ट', 'ल']",टल,2,CVC
टस,"['ट', 'स']",टस,2,CVC
टांक,"['ट', 'ा', 'क']",टाक,3,CVC
टांग,"['ट', 'ा', 'ग']",टाग,3,CVC
टांड,"['ट', 'ा', 'ड']",टाड,3,CVC
टांय,"['ट', 'ा', 'य']",टाय,3,CVC
टाग,"['ट', 'ा', 'ग']",टाग,3,CVC
टाल,"['ट', 'ा', 'ल']",टाल,3,CVC
टिक,"['ट', 'ि', 'क']",टिक,3,CVC
टिप,"['ट', 'ि', 'प']",टिप,3,CVC
टी,"['ट', 'ी']",टी,2,CV
टीन,"['ट', 'ी', 'न']",टीन,3,CVC
टीप,"['ट', 'ी', 'प']",टीप,3,CVC
टीम,"['ट', 'ी', 'म']",टीम,3,CVC
टुन,"['ट', 'ु', 'न']",टुन,3,CVC
टू,"['ट', 'ू']",टू,2,CV
टूट,"['ट', 'ू', 'ट']",टूट,3,CVC
टूथ,"['ट', 'ू', 'थ']",टूथ,3,CVC
टेक,"['ट', 'े', 'क']",टेक,3,CVC
टेप,"['ट', 'े', 'प']",टेप,3,CVC
टेल,"['ट', 'े', 'ल']",टेल,3,CVC
टैंक,"['ट', 'ै', 'क']",टैक,3,CVC
टॉर्च,"['ट', 'ॉ', 'र', '्', 'च']",टॉर्च,5,CVCC
टॉल,"['ट', 'ॉ', 'ल']",टॉल,3,CVC
टोक,"['ट', 'ो', 'क']",टोक,3,CVC
टोड,"['ट', 'ो', 'ड']",टोड,3,CVC
टोप,"['ट', 'ो', 'प']",टोप,3,CVC
ट्रंक,"['ट', '्', 'र', 'क']",ट्रक,4,CCVC
ट्रक,"['ट', '्', 'र', 'क']",ट्रक,4,CCVC
ट्री,"['ट', '्', 'र', 'ी']",ट्री,4,CCV
ट्रे,"['ट', '्', 'र', 'े']",ट्रे,4,CCV
ट्रेन,"['ट', '्', 'र', 'े', 'न']",ट्रेन,5,CCVC
ठंड,"['ठ', 'ड']",ठड,2,CVC
ठक,"['ठ', 'क']",ठक,2,CVC
ठग,"['ठ', 'ग']",ठग,2,CVC
ठन,"['ठ', 'न']",ठन,2,CVC
ठन्न,"['ठ', 'न', '्', 'न']",ठन्न,4,CVCC
ठप,"['ठ', 'प']",ठप,2,CVC
ठाक,"['ठ', 'ा', 'क']",ठाक,3,CVC
ठाट,"['ठ', 'ा', 'ट']",ठाट,3,CVC
ठाठ,"['ठ', 'ा', 'ठ']",ठाठ,3,CVC
ठाड़,"['ठ', 'ा', 'ड', '़']",ठाड़,4,CVC
ठान,"['ठ', 'ा', 'न']",ठान,3,CVC
ठिक,"['ठ', 'ि', 'क']",ठिक,3,CVC
ठीक,"['ठ', 'ी', 'क']",ठीक,3,CVC
ठूँस,"['ठ', 'ू', 'स']",ठूस,3,CVC
ठूंठ,"['ठ', 'ू', 'ठ']",ठूठ,3,CVC
ठेल,"['ठ', 'े', 'ल']",ठेल,3,CVC
ठेस,"['ठ', 'े', 'स']",ठेस,3,CVC
ठोंक,"['ठ', 'ो', 'क']",ठोक,3,CVC
ठोक,"['ठ', 'ो', 'क']",ठोक,3,CVC
ठोस,"['ठ', 'ो', 'स']",ठोस,3,CVC
ठौक,"['ठ', 'ौ', 'क']",ठौक,3,CVC
डंग,"['ड', 'ग']",डग,2,CVC
डग,"['ड', 'ग']",डग,2,CVC
डट,"['ड', 'ट']",डट,2,CVC
डफ,"['ड', 'फ']",डफ,2,CVC
डम,"['ड', 'म']",डम,2,CVC
डर,"['ड', 'र']",डर,2,CVC
डरन,"['ड', 'र', 'न']",डरन,3,CVCVC
डस,"['ड', 'स']",डस,2,CVC
डांक,"['ड', 'ा', 'क']",डाक,3,CVC
डांग,"['ड', 'ा', 'ग']",डाग,3,CVC
डांट,"['ड', 'ा', 'ट']",डाट,3,CVC
डांठ,"['ड', 'ा', 'ठ']",डाठ,3,CVC
डाक,"['ड', 'ा', 'क']",डाक,3,CVC
डार,"['ड', 'ा', 'र']",डार,3,CVC
डाल,"['ड', 'ा', 'ल']",डाल,3,CVC
डिग,"['ड', 'ि', 'ग']",डिग,3,CVC
डी,"['ड', 'ी']",डी,2,CV
डुप,"['ड', 'ु', 'प']",डुप,3,CVC
डुल,"['ड', 'ु', 'ल']",डुल,3,CVC
डूब,"['ड', 'ू', 'ब']",डूब,3,CVC
डेढ़,"['ड', 'े', 'ढ', '़']",डेढ़,4,CVC
डेथ,"['ड', 'े', 'थ']",डेथ,3,CVC
डेश,"['ड', 'े', 'श']",डेश,3,CVC
डैग,"['ड', 'ै', 'ग']",डैग,3,CVC
डॉ,"['ड', 'ॉ']",डॉ,2,CV
डोन,"['ड', 'ो', 'न']",डोन,3,CVC
डोर,"['ड', 'ो', 'र']",डोर,3,CVC
डोल,"['ड', 'ो', 'ल']",डोल,3,CVC
ड्रम,"['ड', '्', 'र', 'म']",ड्रम,4,CCVC
ड्रेस,"['ड', '्', 'र', 'े', 'स']",ड्रेस,5,CCVC
ढंक,"['ढ', 'क']",ढक,2,CVC
ढंग,"['ढ', 'ग']",ढग,2,CVC
ढक,"['ढ', 'क']",ढक,2,CVC
ढन्न,"['ढ', 'न', '्', 'न']",ढन्न,4,CVCC
ढप,"['ढ', 'प']",ढप,2,CVC
ढब,"['ढ', 'ब']",ढब,2,CVC
ढल,"['ढ', 'ल']",ढल,2,CVC
ढ़क,"['ढ', '़', 'क']",ढ़क,3,CVC
ढ़ूंढ,"['ढ', '़', 'ू', 'ढ']",ढ़ूढ,4,CVC
ढ़ेर,"['ढ', '़', 'े', 'र']",ढ़ेर,4,CVC
ढा,"['ढ', 'ा']",ढा,2,CV
ढाक,"['ढ', 'ा', 'क']",ढाक,3,CVC
ढाल,"['ढ', 'ा', 'ल']",ढाल,3,CVC
ढील,"['ढ', 'ी', 'ल']",ढील,3,CVC
ढूंढ,"['ढ', 'ू', 'ढ']",ढूढ,3,CVC
ढूंढ़,"['ढ', 'ू', 'ढ', '़']",ढूढ़,4,CVC
ढेर,"['ढ', 'े', 'र']",ढेर,3,CVC
ढो,"['ढ', 'ो']",ढो,2,CV
ढोर,"['ढ', 'ो', 'र']",ढोर,3,CVC
ढोल,"['ढ', 'ो', 'ल']",ढोल,3,CVC
त,['त'],त,1,CV
तंग,"['त', 'ग']",तग,2,CVC
तट,"['त', 'ट']",तट,2,CVC
तत्त्व,"['त', 'त', '्', 'त', '्', 'व']",तत्त्व,6,CVCCC
तन,"['त', 'न']",तन,2,CVC
तप,"['त', 'प']",तप,2,CVC
तब,"['त', 'ब']",तब,2,CVC
तय,"['त', 'य']",तय,2,CVC
तर,"['त', 'र']",तर,2,CVC
तर्क,"['त', 'र', '्', 'क']",तर्क,4,CVCC
तल,"['त', 'ल']",तल,2,CVC
तह,"['त', 'ह']",तह,2,CVC
ता,"['त', 'ा']",ता,2,CV
ताक,"['त', 'ा', 'क']",ताक,3,CVC
ताक़,"['त', 'ा', 'क', '़']",ताक़,4,CVC
ताज,"['त', 'ा', 'ज']",ताज,3,CVC
ताड़,"['त', 'ा', 'ड', '़']",ताड़,4,CVC
तात,"['त', 'ा', 'त']",तात,3,CVC
तान,"['त', 'ा', 'न']",तान,3,CVC
ताप,"['त', 'ा', 'प']",ताप,3,CVC
तार,"['त', 'ा', 'र']",तार,3,CVC
ताल,"['त', 'ा', 'ल']",ताल,3,CVC
ताव,"['त', 'ा', 'व']",ताव,3,CVC
तिन,"['त', 'ि', 'न']",तिन,3,CVC
तिय,"['त', 'ि', 'य']",तिय,3,CVC
तिल,"['त', 'ि', 'ल']",तिल,3,CVC
तिस,"['त', 'ि', 'स']",तिस,3,CVC
तीज,"['त', 'ी', 'ज']",तीज,3,CVC
तीत्र,"['त', 'ी', 'त', '्', 'र']",तीत्र,5,CVCC
तीन,"['त', 'ी', 'न']",तीन,3,CVC
तीर,"['त', 'ी', 'र']",तीर,3,CVC
तुक,"['त', 'ु', 'क']",तुक,3,CVC
तुप,"['त', 'ु', 'प']",तुप,3,CVC
तुम,"['त', 'ु', 'म']",तुम,3,CVC
तुल,"['त', 'ु', 'ल']",तुल,3,CVC
तू,"['त', 'ू']",तू,2,CV
तें,"['त', 'े']",ते,2,CV
तेज,"['त', 'े', 'ज']",तेज,3,CVC
तेज़,"['त', 'े', 'ज', '़']",तेज़,4,CVC
तेत,"['त', 'े', 'त']",तेत,3,CVC
ते़ज,"['त', 'े', '़', 'ज']",ते़ज,4,CVVC
तैर,"['त', 'ै', 'र']",तैर,3,CVC
तैश,"['त', 'ै', 'श']",तैश,3,CVC
तो,"['त', 'ो']",तो,2,CV
तोंद,"['त', 'ो', 'द']",तोद,3,CVC
तोड,"['त', 'ो', 'ड']",तोड,3,CVC
तोड़,"['त', 'ो', 'ड', '़']",तोड़,4,CVC
तोर,"['त', 'ो', 'र']",तोर,3,CVC
तोल,"['त', 'ो', 'ल']",तोल,3,CVC
तौर,"['त', 'ौ', 'र']",तौर,3,CVC
तौल,"['त', 'ौ', 'ल']",तौल,3,CVC
त्याग,"['त', '्', 'य', 'ा', 'ग']",त्याग,5,CCVC
त्यों,"['त', '्', 'य', 'ो']",त्यो,4,CCV
त्री,"['त', '्', 'र', 'ी']",त्री,4,CCV
थ,['थ'],थ,1,CV
थक,"['थ', 'क']",थक,2,CVC
थन,"['थ', 'न']",थन,2,CVC
थप,"['थ', 'प']",थप,2,CVC
थप्प,"['थ', 'प', '्', 'प']",थप्प,4,CVCC
थम,"['थ', 'म']",थम,2,CVC
थर,"['थ', 'र']",थर,2,CVC
था,"['थ', 'ा']",था,2,CV
थान,"['थ', 'ा', 'न']",थान,3,CVC
थाप,"['थ', 'ा', 'प']",थाप,3,CVC
थाब,"['थ', 'ा', 'ब']",थाब,3,CVC
थाम,"['थ', 'ा', 'म']",थाम,3,CVC
थाल,"['थ', 'ा', 'ल']",थाल,3,CVC
थि,"['थ', 'ि']",थि,2,CV
थी,"['थ', 'ी']",थी,2,CV
थीं,"['थ', 'ी']",थी,2,CV
थीन,"['थ', 'ी', 'न']",थीन,3,CVC
थु,"['थ', 'ु']",थु,2,CV
थू,"['थ', 'ू']",थू,2,CV
थूक,"['थ', 'ू', 'क']",थूक,3,CVC
थो,"['थ', 'ो']",थो,2,CV
थोड़,"['थ', 'ो', 'ड', '़']",थोड़,4,CVC
थ्रश,"['थ', '्', 'र', 'श']",थ्रश,4,CCVC
द,['द'],द,1,CV
दंग,"['द', 'ग']",दग,2,CVC
दंड,"['द', 'ड']",दड,2,CVC
दक्ष,"['द', 'क', '्', 'ष']",दक्ष,4,CVCC
दग्ध,"['द', 'ग', '्', 'ध']",दग्ध,4,CVCC
दब,"['द', 'ब']",दब,2,CVC
दम,"['द', 'म']",दम,2,CVC
दर,"['द', 'र']",दर,2,CVC
दर्द,"['द', 'र', '्', 'द']",दर्द,4,CVCC
दर्प,"['द', 'र', '्', 'प']",दर्प,4,CVCC
दल,"['द', 'ल']",दल,2,CVC
दस,"['द', 'स']",दस,2,CVC
दस्त,"['द', 'स', '्', 'त']",दस्त,4,CVCC
दह,"['द', 'ह']",दह,2,CVC
दाँव,"['द', 'ा', 'व']",दाव,3,CVC
दांत,"['द', 'ा', 'त']",दात,3,CVC
दाग,"['द', 'ा', 'ग']",दाग,3,CVC
दाढ़,"['द', 'ा', 'ढ', '़']",दाढ़,4,CVC
दाद,"['द', 'ा', 'द']",दाद,3,CVC
दान,"['द', 'ा', 'न']",दान,3,CVC
दाम,"['द', 'ा', 'म']",दाम,3,CVC
दार,"['द', 'ा', 'र']",दार,3,CVC
दाल,"['द', 'ा', 'ल']",दाल,3,CVC
दास,"['द', 'ा', 'स']",दास,3,CVC
दाह,"['द', 'ा', 'ह']",दाह,3,CVC
दि,"['द', 'ि']",दि,2,CV
दिख,"['द', 'ि', 'ख']",दिख,3,CVC
दिन,"['द', 'ि', 'न']",दिन,3,CVC
दिय,"['द', 'ि', 'य']",दिय,3,CVC
दिल,"['द', 'ि', 'ल']",दिल,3,CVC
दी,"['द', 'ी']",दी,2,CV
दीन,"['द', 'ी', 'न']",दीन,3,CVC
दीप,"['द', 'ी', 'प']",दीप,3,CVC
दुःख,"['द', 'ु', 'ः', 'ख']",दुःख,4,CVVC
दुख,"['द', 'ु', 'ख']",दुख,3,CVC
दुम,"['द', 'ु', 'म']",दुम,3,CVC
दुर्ग,"['द', 'ु', 'र', '्', 'ग']",दुर्ग,5,CVCC
दुष्ट,"['द', 'ु', 'ष', '्', 'ट']",दुष्ट,5,CVCC
दुह,"['द', 'ु', 'ह']",दुह,3,CVC
दूं,"['द', 'ू']",दू,2,CV
दूट,"['द', 'ू', 'ट']",दूट,3,CVC
दूत,"['द', 'ू', 'त']",दूत,3,CVC
दूध,"['द', 'ू', 'ध']",दूध,3,CVC
दूध्,"['द', 'ू', 'ध', '्']",दूध्,4,CVC
दूध्न,"['द', 'ू', 'ध', '्', 'न']",दूध्न,5,CVCC
दूब,"['द', 'ू', 'ब']",दूब,3,CVC
दूर,"['द', 'ू', 'र']",दूर,3,CVC
दे,"['द', 'े']",दे,2,CV
दें,"['द', 'े']",दे,2,CV
देख,"['द', 'े', 'ख']",देख,3,CVC
देन,"['द', 'े', 'न']",देन,3,CVC
देर,"['द', 'े', 'र']",देर,3,CVC
देव,"['द', 'े', 'व']",देव,3,CVC
देश,"['द', 'े', 'श']",देश,3,CVC
देष,"['द', 'े', 'ष']",देष,3,CVC
देह,"['द', 'े', 'ह']",देह,3,CVC
दैत्य,"['द', 'ै', 'त', '्', 'य']",दैत्य,5,CVCC
दो,"['द', 'ो']",दो,2,CV
दोष,"['द', 'ो', 'ष']",दोष,3,CVC
दौड़,"['द', 'ौ', 'ड', '़']",दौड़,4,CVC
दौर,"['द', 'ौ', 'र']",दौर,3,CVC
द्रव,"['द', '्', 'र', 'व']",द्रव,4,CCVC
द्रव्य,"['द', '्', 'र', 'व', '्', 'य']",द्रव्य,6,CCVCC
द्वार,"['द', '्', 'व', 'ा', 'र']",द्वार,5,CCVC
द्वीप,"['द', '्', 'व', 'ी', 'प']",द्वीप,5,CCVC
धँस,"['ध', 'स']",धस,2,CVC
धक,"['ध', 'क']",धक,2,CVC
धड़,"['ध', 'ड', '़']",धड़,3,CVC
धत,"['ध', 'त']",धत,2,CVC
धत्,"['ध', 'त', '्']",धत्,3,CVC
धत्त,"['ध', 'त', '्', 'त']",धत्त,4,CVCC
धन,"['ध', 'न']",धन,2,CVC
धप,"['ध', 'प']",धप,2,CVC
धप्प,"['ध', 'प', '्', 'प']",धप्प,4,CVCC
धम,"['ध', 'म']",धम,2,CVC
धर,"['ध', 'र']",धर,2,CVC
धर्म,"['ध', 'र', '्', 'म']",धर्म,4,CVCC
धर्र,"['ध', 'र', '्', 'र']",धर्र,4,CVCC
धा,"['ध', 'ा']",धा,2,CV
धाक,"['ध', 'ा', 'क']",धाक,3,CVC
धान,"['ध', 'ा', 'न']",धान,3,CVC
धाम,"['ध', 'ा', 'म']",धाम,3,CVC
धार,"['ध', 'ा', 'र']",धार,3,CVC
धिन,"['ध', 'ि', 'न']",धिन,3,CVC
धीर,"['ध', 'ी', 'र']",धीर,3,CVC
धुंध,"['ध', 'ु', 'ध']",धुध,3,CVC
धुन,"['ध', 'ु', 'न']",धुन,3,CVC
धुल,"['ध', 'ु', 'ल']",धुल,3,CVC
धूप,"['ध', 'ू', 'प']",धूप,3,CVC
धूम,"['ध', 'ू', 'म']",धूम,3,CVC
धूर्त,"['ध', 'ू', 'र', '्', 'त']",धूर्त,5,CVCC
धूल,"['ध', 'ू', 'ल']",धूल,3,CVC
धैंस,"['ध', 'ै', 'स']",धैस,3,CVC
धैम,"['ध', 'ै', 'म']",धैम,3,CVC
धो,"['ध', 'ो']",धो,2,CV
धौंस,"['ध', 'ौ', 'स']",धौस,3,CVC
ध्या,"['ध', '्', 'य', 'ा']",ध्या,4,CCV
ध्रुव,"['ध', '्', 'र', 'ु', 'व']",ध्रुव,5,CCVC
ध्वज,"['ध', '्', 'व', 'ज']",ध्वज,4,CCVC
ध्वस्त,"['ध', '्', 'व', 'स', '्', 'त']",ध्वस्त,6,CCVCC
न,['न'],न,1,CV
नंग,"['न', 'ग']",नग,2,CVC
नक्ल,"['न', 'क', '्', 'ल']",नक्ल,4,CVCC
नगद,"['न', 'ग', 'द']",नगद,3,CVCVC
नट,"['न', 'ट']",नट,2,CVC
नथ,"['न', 'थ']",नथ,2,CVC
नभ,"['न', 'भ']",नभ,2,CVC
नम्र,"['न', 'म', '्', 'र']",नम्र,4,CVCC
नर,"['न', 'र']",नर,2,CVC
नर्म,"['न', 'र', '्', 'म']",नर्म,4,CVCC
नल,"['न', 'ल']",नल,2,CVC
नव,"['न', 'व']",नव,2,CVC
नष्ट,"['न', 'ष', '्', 'ट']",नष्ट,4,CVCC
नस,"['न', 'स']",नस,2,CVC
ना,"['न', 'ा']",ना,2,CV
नांद,"['न', 'ा', 'द']",नाद,3,CVC
नाक,"['न', 'ा', 'क']",नाक,3,CVC
नाच,"['न', 'ा', 'च']",नाच,3,CVC
नाज़,"['न', 'ा', 'ज', '़']",नाज़,4,CVC
नाथ,"['न', 'ा', 'थ']",नाथ,3,CVC
नाद,"['न', 'ा', 'द']",नाद,3,CVC
नान,"['न', 'ा', 'न']",नान,3,CVC
नाप,"['न', 'ा', 'प']",नाप,3,CVC
नाम,"['न', 'ा', 'म']",नाम,3,CVC
नाव,"['न', 'ा', 'व']",नाव,3,CVC
नाश,"['न', 'ा', 'श']",नाश,3,CVC
नाह,"['न', 'ा', 'ह']",नाह,3,CVC
नित,"['न', 'ि', 'त']",नित,3,CVC
नित्य,"['न', 'ि', 'त', '्', 'य']",नित्य,5,CVCC
नींद,"['न', 'ी', 'द']",नीद,3,CVC
नीक,"['न', 'ी', 'क']",नीक,3,CVC
नीच,"['न', 'ी', 'च']",नीच,3,CVC
नीम,"['न', 'ी', 'म']",नीम,3,CVC
नीर,"['न', 'ी', 'र']",नीर,3,CVC
नील,"['न', 'ी', 'ल']",नील,3,CVC
नूर,"['न', 'ू', 'र']",नूर,3,CVC
नृत्य,"['न', 'ृ', 'त', '्', 'य']",नृत्य,5,CVCC
ने,"['न', 'े']",ने,2,CV
नेक,"['न', 'े', 'क']",नेक,3,CVC
नेह,"['न', 'े', 'ह']",नेह,3,CVC
नो,"['न', 'ो']",नो,2,CV
